Entity,Continent,Latitude,Longitude,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/25/2020,8,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/26/2020,5,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/27/2020,4,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/28/2020,1,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,2/29/2020,8,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/1/2020,3,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/2/2020,2,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/3/2020,5,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/4/2020,6,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/5/2020,8,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/6/2020,3,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/7/2020,5,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/8/2020,1,,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/9/2020,18,2,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/10/2020,37,10,
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/11/2020,43,12,1
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/12/2020,141,23,1
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/13/2020,159,33,1
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/14/2020,48,38,1
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/15/2020,27,42,1
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/16/2020,31,51,1
Albania,Europe,41.15,20.17,14,2.89,1.29,5353.2,2873457,38,14,3/17/2020,42,55,1
